title,image_url
Inu x Boku SS,https://cdn.myanimelist.net/images/anime/12/35893.jpg
Seto no Hanayome,https://cdn.myanimelist.net/images/anime/13/58383.jpg
Shugo Chara!! Doki,https://cdn.myanimelist.net/images/anime/11/10645.jpg
Princess Tutu,https://cdn.myanimelist.net/images/anime/13/32209.jpg
Bakuman. 3rd Season,https://cdn.myanimelist.net/images/anime/6/41845.jpg
Yume-iro Pâtissière,https://cdn.myanimelist.net/images/anime/12/21674.jpg
Ultra Maniac,https://cdn.myanimelist.net/images/anime/8/53571.jpg
Shakugan no Shana II (Second),https://cdn.myanimelist.net/images/anime/10/18669.jpg
Nodame Cantabile: Paris-hen,https://cdn.myanimelist.net/images/anime/4/11918.jpg
Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/2/71992.jpg
Junjou Romantica 2,https://cdn.myanimelist.net/images/anime/6/38417.jpg
Kaichou wa Maid-sama!,https://cdn.myanimelist.net/images/anime/6/25254.jpg
Sekaiichi Hatsukoi 2,https://cdn.myanimelist.net/images/anime/8/34871.jpg
Tonari no Kaibutsu-kun,https://cdn.myanimelist.net/images/anime/4/39779.jpg
Bleach,https://cdn.myanimelist.net/images/anime/3/40451.jpg
Chobits,https://cdn.myanimelist.net/images/anime/4/24648.jpg
Kimi ni Todoke,https://cdn.myanimelist.net/images/anime/7/17890.jpg
Naruto: Shippuuden,https://cdn.myanimelist.net/images/anime/5/17407.jpg
Ranma ½,https://cdn.myanimelist.net/images/anime/13/6441.jpg
Toradora!,https://cdn.myanimelist.net/images/anime/13/22128.jpg
Bakuman. 2nd Season,https://cdn.myanimelist.net/images/anime/3/34923.jpg
Gakuen Alice,https://cdn.myanimelist.net/images/anime/4/18118.jpg
Skip Beat!,https://cdn.myanimelist.net/images/anime/11/84022.jpg
Chihayafuru 2,https://cdn.myanimelist.net/images/anime/6/47435.jpg
Shounen Onmyouji,https://cdn.myanimelist.net/images/anime/11/23852.jpg
Chihayafuru,https://cdn.myanimelist.net/images/anime/3/35749.jpg
Itazura na Kiss,https://cdn.myanimelist.net/images/anime/10/19933.jpg
Beelzebub,https://cdn.myanimelist.net/images/anime/3/28013.jpg
Hanasakeru Seishounen,https://cdn.myanimelist.net/images/anime/6/22695.jpg
SKET Dance,https://cdn.myanimelist.net/images/anime/9/73974.jpg
B-gata H-kei,https://cdn.myanimelist.net/images/anime/4/75227.jpg
Crayon Shin-chan,https://cdn.myanimelist.net/images/anime/10/59897.jpg
Fruits Basket,https://cdn.myanimelist.net/images/anime/4/75204.jpg
Saiunkoku Monogatari,https://cdn.myanimelist.net/images/anime/1/957.jpg
One Piece,https://cdn.myanimelist.net/images/anime/6/73245.jpg
Glass no Kamen (2005),https://cdn.myanimelist.net/images/anime/1/2043.jpg
Air Gear,https://cdn.myanimelist.net/images/anime/11/18227.jpg
Saiunkoku Monogatari 2nd Season,https://cdn.myanimelist.net/images/anime/5/73277.jpg
InuYasha,https://cdn.myanimelist.net/images/anime/8/20483.jpg
Chu-Bra!!,https://cdn.myanimelist.net/images/anime/1130/91352.jpg
Ghost Hunt,https://cdn.myanimelist.net/images/anime/11/73908.jpg
Accel World,https://cdn.myanimelist.net/images/anime/8/38155.jpg
Bakuman.,https://cdn.myanimelist.net/images/anime/6/26138.jpg
Nodame Cantabile,https://cdn.myanimelist.net/images/anime/9/11986.jpg
Kamisama Hajimemashita,https://cdn.myanimelist.net/images/anime/3/85429.jpg
Cardcaptor Sakura,https://cdn.myanimelist.net/images/anime/8/60781.jpg
Daa! Daa! Daa!,https://cdn.myanimelist.net/images/anime/3/21166.jpg
Kimi ni Todoke 2nd Season,https://cdn.myanimelist.net/images/anime/8/27174.jpg
