title,image_url
Inu x Boku SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg
Seto no Hanayome,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg
Shugo Chara!! Doki,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg
Princess Tutu,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg
Bakuman. 3rd Season,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg
Yume-iro Pâtissière,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg
Ultra Maniac,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg
Shakugan no Shana II (Second),https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg
Nodame Cantabile: Paris-hen,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg
Ouran Koukou Host Club,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg
Junjou Romantica 2,https://myanimelist.cdn-dena.com/images/anime/6/38417.jpg
Kaichou wa Maid-sama!,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg
Sekaiichi Hatsukoi 2,https://myanimelist.cdn-dena.com/images/anime/8/34871.jpg
Tonari no Kaibutsu-kun,https://myanimelist.cdn-dena.com/images/anime/4/39779.jpg
Bleach,https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg
Chobits,https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg
Kimi ni Todoke,https://myanimelist.cdn-dena.com/images/anime/7/17890.jpg
Naruto: Shippuuden,https://myanimelist.cdn-dena.com/images/anime/5/17407.jpg
Ranma ½,https://myanimelist.cdn-dena.com/images/anime/13/6441.jpg
Toradora!,https://myanimelist.cdn-dena.com/images/anime/13/22128.jpg
Bakuman. 2nd Season,https://myanimelist.cdn-dena.com/images/anime/3/34923.jpg
Gakuen Alice,https://myanimelist.cdn-dena.com/images/anime/4/18118.jpg
Skip Beat!,https://myanimelist.cdn-dena.com/images/anime/11/84022.jpg
Chihayafuru 2,https://myanimelist.cdn-dena.com/images/anime/6/47435.jpg
Shounen Onmyouji,https://myanimelist.cdn-dena.com/images/anime/11/23852.jpg
Chihayafuru,https://myanimelist.cdn-dena.com/images/anime/3/35749.jpg
Itazura na Kiss,https://myanimelist.cdn-dena.com/images/anime/10/19933.jpg
Beelzebub,https://myanimelist.cdn-dena.com/images/anime/3/28013.jpg
Hanasakeru Seishounen,https://myanimelist.cdn-dena.com/images/anime/6/22695.jpg
SKET Dance,https://myanimelist.cdn-dena.com/images/anime/9/73974.jpg
B-gata H-kei,https://myanimelist.cdn-dena.com/images/anime/4/75227.jpg
Crayon Shin-chan,https://myanimelist.cdn-dena.com/images/anime/10/59897.jpg
Fruits Basket,https://myanimelist.cdn-dena.com/images/anime/4/75204.jpg
Saiunkoku Monogatari,https://myanimelist.cdn-dena.com/images/anime/1/957.jpg
One Piece,https://myanimelist.cdn-dena.com/images/anime/6/73245.jpg
Glass no Kamen (2005),https://myanimelist.cdn-dena.com/images/anime/1/2043.jpg
Air Gear,https://myanimelist.cdn-dena.com/images/anime/11/18227.jpg
Saiunkoku Monogatari 2nd Season,https://myanimelist.cdn-dena.com/images/anime/5/73277.jpg
InuYasha,https://myanimelist.cdn-dena.com/images/anime/8/20483.jpg
Chu-Bra!!,https://myanimelist.cdn-dena.com/images/anime/1130/91352.jpg
Ghost Hunt,https://myanimelist.cdn-dena.com/images/anime/11/73908.jpg
Accel World,https://myanimelist.cdn-dena.com/images/anime/8/38155.jpg
Bakuman.,https://myanimelist.cdn-dena.com/images/anime/6/26138.jpg
Nodame Cantabile,https://myanimelist.cdn-dena.com/images/anime/9/11986.jpg
Kamisama Hajimemashita,https://myanimelist.cdn-dena.com/images/anime/3/85429.jpg
Cardcaptor Sakura,https://myanimelist.cdn-dena.com/images/anime/8/60781.jpg
Daa! Daa! Daa!,https://myanimelist.cdn-dena.com/images/anime/3/21166.jpg
Kimi ni Todoke 2nd Season,https://myanimelist.cdn-dena.com/images/anime/8/27174.jpg
Sekaiichi Hatsukoi,https://myanimelist.cdn-dena.com/images/anime/6/29763.jpg
Code-E,https://myanimelist.cdn-dena.com/images/anime/10/57435.jpg
Junjou Romantica,https://myanimelist.cdn-dena.com/images/anime/7/8811.jpg
Kiniro no Corda: Primo Passo,https://myanimelist.cdn-dena.com/images/anime/9/7228.jpg
D.Gray-man Hallow,https://myanimelist.cdn-dena.com/images/anime/12/80766.jpg
Sengoku☆Paradise Kiwami,https://myanimelist.cdn-dena.com/images/anime/11/39031.jpg
Peace Maker Kurogane Movie 1: Omou Michi,https://myanimelist.cdn-dena.com/images/anime/1379/91338.jpg
Boku wa Kuma,https://myanimelist.cdn-dena.com/images/anime/3/18043.jpg
Ane Koi: Suki Kirai Daisuki.,https://myanimelist.cdn-dena.com/images/anime/5/47029.jpg
Parasol Henbei,https://myanimelist.cdn-dena.com/images/anime/6/44704.jpg
Ginga Hyouryuu Vifam: Kieta 12-nin,https://myanimelist.cdn-dena.com/images/anime/11/59747.jpg
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,https://myanimelist.cdn-dena.com/images/anime/10/83150.jpg
Chuuhai Lemon: Love 30s - Ame ni Nurete mo,https://myanimelist.cdn-dena.com/images/anime/6/27716.jpg
Juuni Kokuki,https://myanimelist.cdn-dena.com/images/anime/6/50859.jpg
Diabolik Lovers OVA,https://myanimelist.cdn-dena.com/images/anime/12/74238.jpg
Ko Ko Ro,https://myanimelist.cdn-dena.com/images/anime/6/11545.jpg
