MAL_ID,Name,English name
1,Cowboy Bebop,Cowboy Bebop
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop:The Movie
6,Trigun,Trigun
7,Witch Hunter Robin,Witch Hunter Robin
8,Bouken Ou Beet,Beet the Vandel Buster
15,Eyeshield 21,Unknown
16,Hachimitsu to Clover,Honey and Clover
17,Hungry Heart: Wild Striker,Unknown
18,Initial D Fourth Stage,Unknown
19,Monster,Monster
20,Naruto,Naruto
21,One Piece,One Piece
22,Tennis no Ouji-sama,The Prince of Tennis
23,Ring ni Kakero 1,Unknown
24,School Rumble,School Rumble
25,Sunabouzu,Desert Punk
26,Texhnolyze,Texhnolyze
27,Trinity Blood,Trinity Blood
28,Yakitate!! Japan,Yakitate!! Japan
29,Zipang,Unknown
30,Neon Genesis Evangelion,Neon Genesis Evangelion
31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion:Death & Rebirth
32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion:The End of Evangelion
33,Kenpuu Denki Berserk,Berserk
43,Koukaku Kidoutai,Ghost in the Shell
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X:Trust and Betrayal
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X:The Motion Picture
47,Akira,AKIRA
48,.hack//Sign,.hack//Sign
49,Aa! Megami-sama!,Oh! My Goddess
50,Aa! Megami-sama! (TV),Ah! My Goddess
51,Tenshi Kinryouku,Angel Sanctuary
52,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer
53,Ai Yori Aoshi,Ai Yori Aoshi
54,Appleseed (Movie),Unknown
55,Arc the Lad,Unknown
56,Avenger,Unknown
57,Beck,Beck:Mongolian Chop Squad
58,Blue Gender,Blue Gender
59,Chobits,Chobits
60,Chrno Crusade,Chrono Crusade
61,D.N.Angel,D.N.Angel
62,D.C.: Da Capo,D.C.~Da Capo~
63,DearS,DearS
64,Rozen Maiden,Rozen Maiden
65,Rozen Maiden: Träumend,Rozen Maiden:Träumend
66,Azumanga Daioh,Azumanga Daioh:The Animation
67,Basilisk: Kouga Ninpou Chou,Basilisk
68,Black Cat (TV),Black Cat
69,Cluster Edge,Unknown
71,Full Metal Panic!,Full Metal Panic!
72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu
73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid
74,Gakuen Alice,Gakuen Alice
75,Soukyuu no Fafner: Dead Aggressor,Fafner of the Blue Sky
76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha
77,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's
79,Shuffle!,Shuffle!
80,Mobile Suit Gundam,Mobile Suit Gundam
81,Mobile Suit Gundam: The 08th MS Team,Mobile Suit Gundam:The 08th MS Team
82,Mobile Suit Gundam 0080: War in the Pocket,Mobile Suit Gundam 0080:War in the Pocket
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Unknown
84,Mobile Suit Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083:Stardust Memory
85,Mobile Suit Zeta Gundam,Mobile Suit Zeta Gundam
86,Mobile Suit Gundam ZZ,Mobile Suit Gundam ZZ
87,Mobile Suit Gundam: Char's Counterattack,Mobile Suit Gundam:Char's Counterattack
88,Mobile Suit Gundam F91,Mobile Suit Gundam F91
89,Mobile Suit Victory Gundam,Mobile Suit V Gundam
90,Mobile Suit Gundam Wing,Mobile Suit Gundam Wing
91,Mobile Suit Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing:Endless Waltz
92,After War Gundam X,After War Gundam X
93,Mobile Suit Gundam SEED,Mobile Suit Gundam SEED
94,Mobile Suit Gundam SEED Destiny,Unknown
95,Turn A Gundam,∀ Gundam
96,Mobile Fighter G Gundam,Mobile Fighter G Gundam
97,Last Exile,Last Exile
98,Mai-HiME,My-Hime
99,Mai-Otome,My-Otome
100,Shin Shirayuki-hime Densetsu Prétear,Prétear:The New Legend of Snow White
101,Air,Air
102,Aishiteruze Baby★★,Unknown
103,Akazukin Chacha,Red Riding Hood Chacha
104,Ayashi no Ceres,"Ceres, Celestial Legend"
105,Boys Be...,Boys Be...
106,Hana yori Dango,Hana Yori Dango
107,Ou Dorobou Jing,Jing:King of Bandits
108,Ou Dorobou Jing in Seventh Heaven,Jing:King of Bandits - Seventh Heaven
109,Bakuretsu Tenshi,Burst Angel
110,Chuuka Ichiban!,Unknown
111,Corrector Yui,Corrector Yui
112,Chou Henshin Cosprayers,The Cosmopolitan Prayers
113,Uchuu no Stellvia,Stellvia
114,Sakigake!! Cromartie Koukou,Cromartie High School
115,El Hazard: The Alternative World,Unknown
116,El Hazard: The Wanderers,El-Hazard:The Wanderers
117,El Hazard: The Magnificent World,Unknown
118,El Hazard 2: The Magnificent World,Unknown
119,Final Approach,Unknown
120,Fruits Basket,Fruits Basket
121,Fullmetal Alchemist,Fullmetal Alchemist
122,Full Moon wo Sagashite,Searching for the Full Moon
123,Fushigi Yuugi,Mysterious Play
124,Fushigi Yuugi: Eikouden,Mysterious Play:Eikoden
125,Futakoi,Twin Love
126,Futakoi Alternative,Unknown
127,Gate Keepers,Unknown
128,Gate Keepers 21,Unknown
129,Gensoumaden Saiyuuki,Saiyuki
130,Saiyuuki Reload,Saiyuki Reload
131,Saiyuuki Reload Gunlock,Saiyuki Gunlock
132,GetBackers,Getbackers
133,Green Green,Green Green
134,Gunslinger Girl,Gunslinger Girl
135,Hikaru no Go,Hikaru no Go
136,Hunter x Hunter,Hunter x Hunter
137,Hunter x Hunter: Original Video Animation,Unknown
138,Hunter x Hunter: Greed Island,Unknown
139,Hunter x Hunter: Greed Island Final,Unknown
141,Jinki:Extend,Jinki:Extend
142,Kamikaze Kaitou Jeanne,Unknown
143,Kannazuki no Miko,Destiny of the Shrine Maiden
144,Kanon,Unknown
145,Kareshi Kanojo no Jijou,His and Her Circumstances
146,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World
147,Kimi ga Nozomu Eien,Rumbling Hearts
148,Kita e.: Diamond Dust Drops,Diamond Daydreams
149,Loveless,Loveless
150,Blood+,Blood+
151,Re: Cutey Honey,Unknown
152,Solty Rei,Unknown
153,Juuni Kokuki,The Twelve Kingdoms
154,Shaman King,Shaman King
155,X/1999,X - The Movie
156,X,X
157,Mahou Sensei Negima!,Negima!
158,Maria-sama ga Miteru,Maria Watches Over Us
159,Boukyaku no Senritsu,The Melody of Oblivion
160,"Ima, Soko ni Iru Boku","Now and Then, Here and There"
161,Peace Maker Kurogane,Peace Maker Kurogane
162,Pita Ten,Pita-Ten
163,Power Stone,Unknown
164,Mononoke Hime,Princess Mononoke
165,RahXephon,RahXephon
166,Samurai 7,Samurai 7
167,Scrapped Princess,Scrapped Princess
168,s.CRY.ed,s-CRY-ed
169,Shingetsutan Tsukihime,Lunar Legend Tsukihime
170,Slam Dunk,Slam Dunk
171,Strange Dawn,Unknown
173,Tactics,Unknown
174,Tenjou Tenge,Tenjho Tenge
175,Tokyo Underground,Tokyo Underground
176,Triangle Heart: Sweet Songs Forever,Unknown
177,Tsubasa Chronicle,Tsubasa RESERVoir CHRoNiCLE
178,Ultra Maniac,Ultramaniac - Magical Girl
